130	4	0	grep -E "^(FAIL|ERROR):" .a41/aceptacion.txt
138	4	0	sed -n "487,490p" .a41/aceptacion.txt
144	3	0	sed -n "533,535p" .a41/aceptacion.txt
220	13	0	grep -n "^[A-Z][A-Z ,:.!?“”’-]\{6,\}$" fuentes/scott_radical_candor/cap_13.md
237	30	0	grep -nE "^([0-9]+\. |[A-Z][A-Z ,“”’-]{6,}$|Rating or no|Categories of|Job ladders|Number of|Language |Consequence|Distribution|Forced curve|Calibration|Frequency|Transparent or|Lightweight or)" fuentes/scott_radical_candor/cap_14.md
276	1	0	sed -n "59p" fuentes/scott_radical_candor/cap_14.md
357	1	0	sed -n "199p" fuentes/scott_radical_candor/cap_13.md
360	11	1	awk "NR>=203 && NR<=213 {print NR\": \"substr(\$0,1,90)}" fuentes/scott_radical_candor/cap_13.md
383	1	1	sed -n "97p" fuentes/scott_radical_candor/cap_14.md
503	1	0	grep -c "arista" docs/loop/DEUDA.jsonl
575	5	0	grep -n "TRAMO POR VUELTA" -A 4 docs/loop/EXTRACTOR.md
