| # | candidato | pasos | poblacion | saldo | filas de vecino |
|---:|---|---:|---:|---|---:|
| 1 | `bloquear_tiempo_pensar_calendario` | 6 | 308 | **BLOQUEARIA** | 4 |
| 2 | `conducir_reunion_equipo_agenda_tres_bloques` | 22 | 308 | **ENTRARIA** | 0 |
| 3 | `debatir_decidir_asuntos_cultura_evitar_delegar` | 6 | 316 | **ENTRARIA** | 0 |
| 4 | `decidir_quien_comunica_cada_cuanto` | 6 | 304 | **BLOQUEARIA** | 1 |
| 5 | `escribir_apuntes_sala_estudio_equipo` | 14 | 308 | **ENTRARIA** | 0 |
| 6 | `leer_seniales_fallo_jefe_reunion_solas` | 6 | 308 | **ENTRARIA** | 0 |
| 7 | `montar_reunion_general_presentaciones_preguntas` | 11 | 312 | **ENTRARIA** | 0 |
| 8 | `montar_reunion_gran_debate` | 13 | 312 | **BLOQUEARIA** | 1 |
| 9 | `montar_reunion_gran_decision` | 14 | 312 | **BLOQUEARIA** | 3 |
| 10 | `montar_reuniones_solas_mentalidad_frecuencia` | 22 | 304 | **ENTRARIA** | 0 |
| 11 | `montar_tablero_kanban_medir_actividades` | 10 | 316 | **ENTRARIA** | 0 |
| 12 | `nutrir_ideas_nuevas_reunion_solas` | 10 | 304 | **BLOQUEARIA** | 1 |
| 13 | `pasear_organizacion_hallar_problemas_pequenios` | 9 | 316 | **ENTRARIA** | 0 |
| 14 | `pelear_proliferacion_reuniones_bloquear_ejecucion` | 8 | 312 | **ENTRARIA** | 0 |
| 15 | `preguntar_seguimiento_hallar_huecos` | 16 | 304 | **BLOQUEARIA** | 1 |
| 16 | `recorrer_rueda_conscientemente_cultura_equipo` | 14 | 316 | **BLOQUEARIA** | 1 |
| | **16 candidatos** | **187** | | **9 ENTRARIA, 7 BLOQUEARIA, 0 CAERIA** | **12** |
