PARES DE LA TANDA ORDENADOS POR SOLAPE DEL AUDITOR: 55
max    cabecera pasos   linea par
0.123  0.123    0.074   L194  pedir_critica_equipo_premiarla  ||  empezar_cultura_franqueza_radical
0.123  0.123    0.074   L177  pedir_critica_equipo_premiarla  ||  empezar_cultura_franqueza_radical
0.115  0.039    0.115   L158  ajustar_franqueza_oido_oyente  ||  delimitar_franqueza_radical_cinco_noes
0.114  0.068    0.114   L181  cuidar_persona_completa_equipo  ||  delimitar_franqueza_radical_cinco_noes
0.099  0.000    0.099   L201  acompaniar_mejores_equipo_socio  ||  cambiar_potencial_trayectoria_crecimiento
0.094  0.056    0.094   L202  acompaniar_mejores_equipo_socio  ||  elogiar_trabajo_especifico_contexto
0.093  0.056    0.093   L163  elogiar_trabajo_especifico_contexto  ||  criticar_trabajo_evitar_desanimo
0.093  0.093    0.070   L186  cuidar_persona_completa_equipo  ||  respetar_cuidar_persona_cargo
0.092  0.031    0.092   L184  cuidar_persona_completa_equipo  ||  manejar_enfado_persona_desafiada
0.087  0.087    0.048   L182  cuidar_persona_completa_equipo  ||  gestionar_personas_equipo
0.081  0.057    0.081   L170  empezar_cultura_franqueza_radical  ||  desplegar_marco_franqueza_radical
0.080  0.017    0.080   L197  acompaniar_mejores_equipo_socio  ||  manejar_enfado_persona_desafiada
0.077  0.015    0.077   L188  cuidar_persona_completa_equipo  ||  equilibrar_elogio_critica_equipo
0.077  0.050    0.077   L192  pedir_critica_equipo_premiarla  ||  equilibrar_elogio_critica_equipo
0.077  0.050    0.077   L175  pedir_critica_equipo_premiarla  ||  equilibrar_elogio_critica_equipo
0.076  0.000    0.076   L165  elogiar_trabajo_especifico_contexto  ||  cambiar_potencial_trayectoria_crecimiento
0.075  0.020    0.075   L162  revisar_ciclo_responsabilidades_relaciones  ||  manejar_enfado_persona_desafiada
0.075  0.032    0.075   L183  cuidar_persona_completa_equipo  ||  ajustar_franqueza_oido_oyente
0.074  0.074    0.043   L193  pedir_critica_equipo_premiarla  ||  desplegar_marco_franqueza_radical
0.074  0.074    0.043   L176  pedir_critica_equipo_premiarla  ||  desplegar_marco_franqueza_radical
0.073  0.016    0.073   L203  acompaniar_mejores_equipo_socio  ||  pedir_critica_equipo_premiarla
0.072  0.032    0.072   L155  cambiar_potencial_trayectoria_crecimiento  ||  cambiar_mentalidad_fija_crecimiento
0.072  0.047    0.072   L200  acompaniar_mejores_equipo_socio  ||  cuidar_persona_completa_equipo
0.070  0.070    0.062   L167  empezar_cultura_franqueza_radical  ||  criticar_trabajo_evitar_desanimo
0.069  0.016    0.069   L190  cuidar_persona_completa_equipo  ||  elogiar_trabajo_especifico_contexto
0.069  0.000    0.069   L199  acompaniar_mejores_equipo_socio  ||  delimitar_franqueza_radical_cinco_noes
0.068  0.016    0.068   L195  pedir_critica_equipo_premiarla  ||  manejar_enfado_persona_desafiada
0.068  0.016    0.068   L178  pedir_critica_equipo_premiarla  ||  manejar_enfado_persona_desafiada
0.067  0.018    0.067   L149  manejar_enfado_persona_desafiada  ||  delimitar_franqueza_radical_cinco_noes
0.061  0.061    0.056   L157  ajustar_franqueza_oido_oyente  ||  desplegar_marco_franqueza_radical
0.060  0.034    0.060   L156  cambiar_potencial_trayectoria_crecimiento  ||  desplegar_marco_franqueza_radical
0.059  0.000    0.059   L196  pedir_critica_equipo_premiarla  ||  elogiar_trabajo_especifico_contexto
