| # | candidato | pasadas | vecinos leidos | veredictos | aristas | como acaba |
|---:|---|---:|---:|---:|---:|---|
| 1 | `decidir_momento_despedir_persona` | **2** | 4 | **4** | 0 | **DENTRO** |
| 2 | `despedir_persona_franqueza_radical` | **2** | 7 | **7** | 0 | **DENTRO** |
| 3 | `reconocer_recompensar_gente_estable` | **2** | 2 | **2** | 0 | **DENTRO** |
| 4 | `retar_superestrellas_equipo_constantemente` | **2** | 9 | **9** | 1 | **DENTRO** |
| 5 | `retirar_etiquetas_permanentes_equipo` | **2** | 3 | **3** | 0 | **DENTRO** |
| 6 | `revisar_cinco_causas_mal_desempenio` | **2** | 1 | **1** | 0 | **DENTRO** |
| 7 | `subir_vara_calidad_equipo` | **2** | 8 | **8** | 0 | **DENTRO** |
| 8 | `abrir_debate_humor_explicar_proposito` | **1** | 0 | **0** | 0 | **DENTRO** |
| 9 | `adaptar_escucha_cultura_ajena` | **1** | 0 | **0** | 0 | **DENTRO** |
| 10 | `aprender_resultados_vencer_dos_presiones` | **1** | 0 | **0** | 0 | **DENTRO** |
| 11 | `bajar_detalle_organizacion_fuente_hechos` | **1** | 0 | **0** | 0 | **DENTRO** |
| 12 | `cambiar_posicion_hechos_explicar_cambio` | **2** | 1 | **1** | 0 | **DENTRO** |
| | **TOTAL** | **20** | **35** | **35** | **1** | **12 de 12 DENTRO** |
