CANDIDATO cambiar_posicion_hechos_explicar_cambio  (1 pares)
   vs abrir_debate_humor_explicar_proposito                   | paso 6 del candidato contra paso 6 de abrir_debate_humor_explicar_proposito | fam 0.111 pxn 0.475 sim 0.377 | levantada_por similitud_texto
CANDIDATO decidir_momento_despedir_persona  (4 pares)
   vs despedir_persona_franqueza_radical                      | paso 11 del candidato contra paso 1 de despedir_persona_franqueza_radical | fam 0.333 pxn 0.512 sim 0.347 | levantada_por familia_id
   vs pedir_critica_equipo_premiarla                          | paso 2 del candidato contra paso 2 de pedir_critica_equipo_premiarla | fam 0.000 pxn 0.510 sim 0.369 | levantada_por similitud_texto
   vs despedir_persona_respeto_franqueza                      | paso 12 del candidato contra paso 6 de despedir_persona_respeto_franqueza | fam 0.333 pxn 0.430 sim 0.199 | levantada_por familia_id
   vs elegir_recolocar_despedir_persona                       | paso 6 del candidato contra paso 5 de elegir_recolocar_despedir_persona | fam 0.333 pxn 0.395 sim 0.232 | levantada_por familia_id
CANDIDATO despedir_persona_franqueza_radical  (7 pares)
   vs despedir_persona_respeto_franqueza                      | paso 7 del candidato contra paso 5 de despedir_persona_respeto_franqueza | fam 0.600 pxn 0.398 sim 0.204 | levantada_por familia_id
   vs acompaniar_mejores_equipo_socio                         | paso 8 del candidato contra paso 9 de acompaniar_mejores_equipo_socio | fam 0.000 pxn 0.479 sim 0.379 | levantada_por similitud_texto
   vs empezar_cultura_franqueza_radical                       | paso 4 del candidato contra paso 1 de empezar_cultura_franqueza_radical | fam 0.333 pxn 0.430 sim 0.381 | levantada_por similitud_texto,familia_id
   vs equilibrar_elogio_critica_equipo                        | paso 1 del candidato contra paso 7 de equilibrar_elogio_critica_equipo | fam 0.000 pxn 0.398 sim 0.354 | levantada_por similitud_texto
   vs elogiar_trabajo_especifico_contexto                     | paso 2 del candidato contra paso 1 de elogiar_trabajo_especifico_contexto | fam 0.000 pxn 0.396 sim 0.386 | levantada_por similitud_texto
   vs elegir_recolocar_despedir_persona                       | paso 7 del candidato contra paso 5 de elegir_recolocar_despedir_persona | fam 0.333 pxn 0.394 sim 0.246 | levantada_por familia_id
   vs desplegar_marco_franqueza_radical                       | paso 7 del candidato contra paso 6 de desplegar_marco_franqueza_radical | fam 0.333 pxn 0.386 sim 0.349 | levantada_por familia_id
CANDIDATO reconocer_recompensar_gente_estable  (3 pares)
   vs pedir_critica_equipo_premiarla                          | paso 3 del candidato contra paso 4 de pedir_critica_equipo_premiarla | fam 0.000 pxn 0.464 sim 0.367 | levantada_por similitud_texto
   vs reconocer_recompensar_uso_metodo                        | paso 3 del candidato contra paso 2 de reconocer_recompensar_uso_metodo | fam 0.333 pxn 0.405 sim 0.123 | levantada_por familia_id
   vs acompaniar_mejores_equipo_socio                         | paso 5 del candidato contra paso 11 de acompaniar_mejores_equipo_socio | fam 0.000 pxn 0.409 sim 0.342 | levantada_por lectura declarada
CANDIDATO retar_superestrellas_equipo_constantemente  (9 pares)
   vs criticar_trabajo_evitar_desanimo                        | paso 1 del candidato contra paso 10 de criticar_trabajo_evitar_desanimo | fam 0.000 pxn 0.474 sim 0.360 | levantada_por similitud_texto
   vs pedir_critica_equipo_premiarla                          | paso 1 del candidato contra paso 2 de pedir_critica_equipo_premiarla | fam 0.143 pxn 0.472 sim 0.376 | levantada_por similitud_texto
   vs despedir_persona_franqueza_radical                      | paso 1 del candidato contra paso 7 de despedir_persona_franqueza_radical | fam 0.000 pxn 0.467 sim 0.371 | levantada_por similitud_texto
   vs revisar_ciclo_responsabilidades_relaciones              | paso 7 del candidato contra paso 6 de revisar_ciclo_responsabilidades_relaciones | fam 0.000 pxn 0.452 sim 0.373 | levantada_por similitud_texto
   vs cuidar_persona_completa_equipo                          | paso 1 del candidato contra paso 2 de cuidar_persona_completa_equipo | fam 0.143 pxn 0.439 sim 0.374 | levantada_por similitud_texto
   vs reconocer_recompensar_gente_estable                     | paso 13 del candidato contra paso 5 de reconocer_recompensar_gente_estable | fam 0.000 pxn 0.437 sim 0.373 | levantada_por similitud_texto
   vs ajustar_franqueza_oido_oyente                           | paso 1 del candidato contra paso 6 de ajustar_franqueza_oido_oyente | fam 0.000 pxn 0.430 sim 0.388 | levantada_por similitud_texto
