CANDIDATOS CUYO resumen_teorico CITA fuentes/scott_radical_candor/cap_07.md
total: 25

Lini   Lfin   id                                                         pasos  sede
65     77     recorrer_rueda_hacer_cosas_equipo                             12  bandeja
91     111    escuchar_callado_equipo_tranquilizar_incomodo                 11  INSERTADO
113    129    escuchar_ruidoso_opinion_fuerte_pedir_agujeros                13  INSERTADO
131    153    crear_cultura_escucha_equipo                                  17  INSERTADO
155    163    adaptar_escucha_cultura_ajena                                  9  INSERTADO
177    195    crear_espacio_seguro_madurar_ideas_nuevas                     14  bandeja
197    211    explicar_idea_facil_comprender_oyente                         13  INSERTADO
225    229    centrar_debate_ideas_fuera_egos                               10  INSERTADO
231    233    crear_obligacion_disentir_equipo                               5  bandeja
235    237    parar_debate_emocion_agotamiento                               5  bandeja
239    243    abrir_debate_humor_explicar_proposito                          7  INSERTADO
245    257    fijar_fecha_cierre_debate_equipo                              11  bandeja
259    289    repartir_decision_cercanos_hechos                             11  bandeja
291    293    pedir_hechos_decision_evitar_recomendaciones                   5  bandeja
295    301    bajar_detalle_organizacion_fuente_hechos                       9  INSERTADO
303    347    persuadir_emocion_oyente_no_propia                            11  bandeja
349    357    establecer_credibilidad_pericia_humildad                       9  bandeja
359    365    compartir_logica_mostrar_razonamiento                          6  bandeja
367    373    minimizar_impuesto_colaboracion_equipo                         4  bandeja
375    379    proteger_tiempo_equipo_jefe                                    9  bandeja
381    383    mantener_manos_trabajo_real_equipo                             8  bandeja
385    387    reservar_calendario_tiempo_ejecutar                            4  bandeja
389    401    aprender_resultados_vencer_dos_presiones                       6  INSERTADO
403    407    cambiar_posicion_hechos_explicar_cambio                        9  INSERTADO
409    419    cuidarse_agotamiento_centro_rueda                              7  bandeja
