L65-77    recorrer_rueda_hacer_cosas_equipo
L91-111   escuchar_callado_equipo_tranquilizar_incomodo
L113-129  escuchar_ruidoso_opinion_fuerte_pedir_agujeros
L131-153  crear_cultura_escucha_equipo
L155-163  adaptar_escucha_cultura_ajena
L177-195  crear_espacio_seguro_madurar_ideas_nuevas
L197-211  explicar_idea_facil_comprender_oyente
L225-229  centrar_debate_ideas_fuera_egos
L231-233  crear_obligacion_disentir_equipo
L235-237  parar_debate_emocion_agotamiento
L239-243  abrir_debate_humor_explicar_proposito
L245-257  fijar_fecha_cierre_debate_equipo
L259-289  repartir_decision_cercanos_hechos
L291-293  pedir_hechos_decision_evitar_recomendaciones
L295-301  bajar_detalle_organizacion_fuente_hechos
L303-347  persuadir_emocion_oyente_no_propia
L349-357  establecer_credibilidad_pericia_humildad
L359-365  compartir_logica_mostrar_razonamiento
L367-373  minimizar_impuesto_colaboracion_equipo
L375-379  proteger_tiempo_equipo_jefe
L381-383  mantener_manos_trabajo_real_equipo
L385-387  reservar_calendario_tiempo_ejecutar
L389-401  aprender_resultados_vencer_dos_presiones
L403-407  cambiar_posicion_hechos_explicar_cambio
L409-419  cuidarse_agotamiento_centro_rueda
