| # | nodo insertado | vecinos juzgados | declarados por lectura | nodos en el grafo tras el | veredictos escritos |
|---:|---|---:|---:|---:|---:|
| 01 | `parar_debate_emocion_agotamiento` | 9 | 0 | **244** | 9 |
| 02 | `fijar_fecha_cierre_debate_equipo` | 4 | 0 | **245** | 4 |
| 03 | `repartir_decision_cercanos_hechos` | 1 | 0 | **246** | 1 |
| 04 | `pedir_hechos_decision_evitar_recomendaciones` | 7 | 0 | **247** | 7 |
| 05 | `persuadir_emocion_oyente_no_propia` | 3 | 0 | **248** | 3 |
| 06 | `establecer_credibilidad_pericia_humildad` | 3 | 0 | **249** | 3 |
| 07 | `compartir_logica_mostrar_razonamiento` | 10 | 0 | **250** | 10 |
| 08 | `minimizar_impuesto_colaboracion_equipo` | 10 | 0 | **251** | 10 |
| 09 | `proteger_tiempo_equipo_jefe` | 10 | 0 | **252** | 10 |
| 10 | `mantener_manos_trabajo_real_equipo` | 8 | 0 | **253** | 8 |
| 11 | `reservar_calendario_tiempo_ejecutar` | 7 | 0 | **254** | 7 |
| 12 | `cuidarse_agotamiento_centro_rueda` | 5 | 0 | **255** | 5 |
| 13 | `bloquear_tiempo_pensar_calendario` | 5 | 1 | **256** | 6 |
| | **total** | **82** | **1** | | **83** |
