EL ARNES ENTREGA LOS REMEDIOS QUE EL ACTA ESCRIBE, NO LOS QUE CITA
caso positivo de la TAREA 2 de la vuelta 31, sobre docs/loop/ACTA_AUDITOR.md

| acta | remedios entregados | de que seccion salen | secciones que solo CITAN |
|---|---:|---|---|
| `ACTA 27` | **2** | seccion `10` | **NINGUNA, que es lo que se pedia** |
| `ACTA 28` | **4** | seccion `10` | **NINGUNA, que es lo que se pedia** |
| `ACTA 29` | **3** | seccion `8.5` | **NINGUNA, que es lo que se pedia** |

LOS REMEDIOS, UNO A UNO, CON SU LINEA DEL ACTA

| acta | # | linea | el remedio que el acta ESCRIBE |
|---|---:|---:|---|
| `ACTA 27` | 1 | `25165` | NINGUNA CELDA DE MI APERTURA SELLADA PUBLICA EL RESULTADO DE UNA LECTURA DISCUTIBLE COMO CIFRA. |
| `ACTA 27` | 2 | `25166` | LA RELECTURA CIEGA DESTAPA UNA RAZON POR VEZ, Y DESPUES DE IMPRIMIR SUS PASOS. |
| `ACTA 28` | 1 | `26180` | LA TABLA DE CIERRE DE LA APERTURA CIEGA SE ESCRIBE DESPUES DE VOLVER A CORRER LAS GUARDAS, Y EL  |
| `ACTA 28` | 2 | `26181` | LO QUE LA FASE CIEGA ESCRIBE EN .vNN/ PASA EL BARRIDO ANTES DE SELLAR. |
| `ACTA 28` | 3 | `26182` | LOS POR ADJUDICAR SE ADJUDICAN TODOS, CADA UNO CON SU SECCION. |
| `ACTA 28` | 4 | `26183` | LA RELECTURA DESTAPA UNA RAZON POR VEZ, DESPUES DE IMPRIMIR LOS PASOS. |
| `ACTA 29` | 1 | `27009` | NINGUNA CELDA DE MI APERTURA SELLADA LLEVA UN NUMERO QUE SALGA DE UNA LECTURA MIA. |
| `ACTA 29` | 2 | `27010` | LA RELECTURA CIEGA DESTAPA UNA RAZON POR VEZ, Y DESPUES DE ESCRIBIR MI CLASE A FICHERO. |
| `ACTA 29` | 3 | `27011` | TODA REGLA QUE CITE LA LEO EN SU SEDE EN LA MISMA FASE EN QUE LA CITO. |
