$ python .v47/atribuir.py
candidato                                        mejor    2o        reparto (solapamiento lexico de titulo+pasos)
archivar_indicadores_resolver_problemas          cap_01   cap_02    0.000 / 0.000
casar_flujo_fabricacion_flujo_ventas             cap_05   cap_03    0.022 / 0.015
clasificar_trabajo_proceso_montaje_prueba        cap_02   cap_04    0.036 / 0.036
construir_flujo_produccion_paso_limitante        cap_02   cap_04    0.028 / 0.028
construir_grafico_escalonado_pronosticos         cap_03   cap_07    0.050 / 0.050
construir_indicador_linealidad_alerta_temprana   cap_02   cap_03    0.026 / 0.026
construir_indicador_tendencia_patron             cap_01   cap_02    0.000 / 0.000
decidir_aceptar_rechazar_material_defectuoso     cap_14   cap_03    0.028 / 0.019
detectar_arreglar_fallo_etapa_menor_valor        cap_02   cap_03    0.060 / 0.048
dimensionar_inventario_materia_prima_reposicion  cap_02   cap_03    0.029 / 0.029
dimensionar_plantilla_administrativa_pronostico  cap_03   cap_04    0.057 / 0.029
elegir_cinco_indicadores_diarios_fabrica         cap_05   cap_02    0.018 / 0.009
elegir_fabricar_pedido_pronostico                cap_03   cap_04    0.018 / 0.018
elegir_indicador_salida_trabajo_administrativo   cap_03   cap_04    0.035 / 0.035
elegir_inspeccion_barrera_monitorizacion         cap_04   cap_02    0.030 / 0.023
emparejar_indicadores_efecto_contraefecto        cap_02   cap_03    0.030 / 0.030
equilibrar_capacidad_personal_inventario_plazo   cap_01   cap_02    0.040 / 0.040
preferir_inspeccion_proceso_prueba_destructiva   cap_05   cap_01    0.027 / 0.013
rehacer_flujo_paso_limitante_capacidad           cap_01   cap_03    0.016 / 0.016
representar_actividad_caja_negra_ventanas        cap_03   cap_04    0.033 / 0.033
simplificar_trabajo_reducir_numero_pasos         cap_01   cap_03    0.016 / 0.016
variar_frecuencia_inspeccion_nivel_calidad       cap_03   cap_04    0.016 / 0.016

reparto por capitulo ganador: {'cap_01': 5, 'cap_02': 6, 'cap_03': 6, 'cap_04': 1, 'cap_05': 3, 'cap_14': 1}
