$ python - (vuelta y capitulo declarados por cada candidato de grove)
candidato                                        vuelta   capitulo   pasos
archivar_indicadores_resolver_problemas          None     None       0
casar_flujo_fabricacion_flujo_ventas             None     None       0
clasificar_trabajo_proceso_montaje_prueba        None     None       0
construir_flujo_produccion_paso_limitante        None     None       0
construir_grafico_escalonado_pronosticos         None     None       0
construir_indicador_linealidad_alerta_temprana   None     None       0
construir_indicador_tendencia_patron             None     None       0
decidir_aceptar_rechazar_material_defectuoso     None     None       0
detectar_arreglar_fallo_etapa_menor_valor        None     None       0
dimensionar_inventario_materia_prima_reposicion  None     None       0
dimensionar_plantilla_administrativa_pronostico  None     None       0
elegir_cinco_indicadores_diarios_fabrica         None     None       0
elegir_fabricar_pedido_pronostico                None     None       0
elegir_indicador_salida_trabajo_administrativo   None     None       0
elegir_inspeccion_barrera_monitorizacion         None     None       0
emparejar_indicadores_efecto_contraefecto        None     None       0
equilibrar_capacidad_personal_inventario_plazo   None     None       0
preferir_inspeccion_proceso_prueba_destructiva   None     None       0
rehacer_flujo_paso_limitante_capacidad           None     None       0
representar_actividad_caja_negra_ventanas        None     None       0
simplificar_trabajo_reducir_numero_pasos         None     None       0
variar_frecuencia_inspeccion_nivel_calidad       None     None       0
total candidatos: 22
