$ python - (inventario real de los 22 candidatos de grove)
candidato                                        dominio          pasos fuentes
archivar_indicadores_resolver_problemas          produccion           4 grove_high_output@2026-09-16
casar_flujo_fabricacion_flujo_ventas             produccion          12 grove_high_output@2026-09-16
clasificar_trabajo_proceso_montaje_prueba        produccion           7 grove_high_output@2026-09-16
construir_flujo_produccion_paso_limitante        produccion          10 grove_high_output@2026-09-16
construir_grafico_escalonado_pronosticos         produccion           8 grove_high_output@2026-09-16
construir_indicador_linealidad_alerta_temprana   produccion           9 grove_high_output@2026-09-16
construir_indicador_tendencia_patron             produccion           6 grove_high_output@2026-09-16
decidir_aceptar_rechazar_material_defectuoso     produccion           8 grove_high_output@2026-09-16
detectar_arreglar_fallo_etapa_menor_valor        produccion           6 grove_high_output@2026-09-16
dimensionar_inventario_materia_prima_reposicion  produccion           7 grove_high_output@2026-09-16
dimensionar_plantilla_administrativa_pronostico  produccion           7 grove_high_output@2026-09-16
elegir_cinco_indicadores_diarios_fabrica         produccion          10 grove_high_output@2026-09-16
elegir_fabricar_pedido_pronostico                produccion           9 grove_high_output@2026-09-16
elegir_indicador_salida_trabajo_administrativo   produccion           7 grove_high_output@2026-09-16
elegir_inspeccion_barrera_monitorizacion         produccion          12 grove_high_output@2026-09-16
emparejar_indicadores_efecto_contraefecto        produccion           7 grove_high_output@2026-09-16
equilibrar_capacidad_personal_inventario_plazo   produccion           8 grove_high_output@2026-09-16
preferir_inspeccion_proceso_prueba_destructiva   produccion           6 grove_high_output@2026-09-16
rehacer_flujo_paso_limitante_capacidad           produccion           6 grove_high_output@2026-09-16
representar_actividad_caja_negra_ventanas        produccion           9 grove_high_output@2026-09-16
simplificar_trabajo_reducir_numero_pasos         produccion           7 grove_high_output@2026-09-16
variar_frecuencia_inspeccion_nivel_calidad       produccion           6 grove_high_output@2026-09-16
TOTAL                                                               171  candidatos: 22
