candidato de cap_05                                nodo del grafo (zhuo_manager)            senial pasa el umbral 0.35
fijar_frecuencia_reunion_individual_madurez_tarea  dirigir_reunion_individual_semanal       0.0808 no
fijar_frecuencia_reunion_individual_madurez_tarea  preguntar_conducir_reunion_individual    0.1272 no
fijar_frecuencia_reunion_individual_madurez_tarea  auditar_calendario_reuniones_semana      0.0996 no
fijar_duracion_lugar_reunion_individual            dirigir_reunion_individual_semanal       0.0617 no
fijar_duracion_lugar_reunion_individual            preguntar_conducir_reunion_individual    0.1619 no
fijar_duracion_lugar_reunion_individual            auditar_calendario_reuniones_semana      0.1418 no
preparar_guion_reunion_individual_subordinado      dirigir_reunion_individual_semanal       0.0661 no
preparar_guion_reunion_individual_subordinado      preguntar_conducir_reunion_individual    0.0963 no
preparar_guion_reunion_individual_subordinado      auditar_calendario_reuniones_semana      0.1314 no
cubrir_indicadores_problemas_reunion_individual    dirigir_reunion_individual_semanal       0.1125 no
cubrir_indicadores_problemas_reunion_individual    preguntar_conducir_reunion_individual    0.0881 no
cubrir_indicadores_problemas_reunion_individual    auditar_calendario_reuniones_semana      0.1196 no
infundir_regularidad_reunion_proceso               dirigir_reunion_individual_semanal       0.1424 no
infundir_regularidad_reunion_proceso               preguntar_conducir_reunion_individual    0.1114 no
infundir_regularidad_reunion_proceso               auditar_calendario_reuniones_semana      0.1715 no
usar_tres_clases_reunion_proceso                   dirigir_reunion_individual_semanal       0.0770 no
usar_tres_clases_reunion_proceso                   preguntar_conducir_reunion_individual    0.1212 no
usar_tres_clases_reunion_proceso                   auditar_calendario_reuniones_semana      0.1083 no
