# lectura de fidelidad D.30 de la fase ciega de la vuelta 63, paso a paso contra fuentes/grove_high_output/
# id | paso | clase (T transcripcion, P puente, D duda) | linea del libro | nota
clasificar_trabajo_proceso_montaje_prueba | 1 | T | L39,L41 |
clasificar_trabajo_proceso_montaje_prueba | 2 | T | L39,L41 |
clasificar_trabajo_proceso_montaje_prueba | 3 | T | L39 |
clasificar_trabajo_proceso_montaje_prueba | 4 | T | L45 | ejemplo del compilador puesto en imperativo; el libro lo describe
clasificar_trabajo_proceso_montaje_prueba | 5 | T | L45,L41 |
clasificar_trabajo_proceso_montaje_prueba | 6 | T | L45 |
clasificar_trabajo_proceso_montaje_prueba | 7 | T | L45 |
construir_flujo_produccion_paso_limitante | 1 | T | L19 |
construir_flujo_produccion_paso_limitante | 2 | T | L19 |
construir_flujo_produccion_paso_limitante | 3 | T | L21 |
construir_flujo_produccion_paso_limitante | 4 | T | L21 |
construir_flujo_produccion_paso_limitante | 5 | T | L23 |
construir_flujo_produccion_paso_limitante | 6 | T | L23 |
construir_flujo_produccion_paso_limitante | 7 | T | L25 |
construir_flujo_produccion_paso_limitante | 8 | T | L25 |
construir_flujo_produccion_paso_limitante | 9 | T | L27 |
construir_flujo_produccion_paso_limitante | 10 | T | L27 | la condicion cuando el paso que manda no sea el mas largo es del extractor; el libro da las cuatro alternativas entre parentesis
detectar_arreglar_fallo_etapa_menor_valor | 1 | D | L73 | el verbo ordena las etapas por valor es del extractor; el libro da la propiedad (el valor crece a lo largo del flujo), no la accion
detectar_arreglar_fallo_etapa_menor_valor | 2 | T | L73 | esta en el libro pero es glosa narrativa (el rotulo del establecimiento), no paso
detectar_arreglar_fallo_etapa_menor_valor | 3 | T | L75 |
detectar_arreglar_fallo_etapa_menor_valor | 4 | T | L75 |
detectar_arreglar_fallo_etapa_menor_valor | 5 | T | L75 |
detectar_arreglar_fallo_etapa_menor_valor | 6 | T | L75 |
dimensionar_inventario_materia_prima_reposicion | 1 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 2 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 3 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 4 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 5 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 6 | T | L69 |
dimensionar_inventario_materia_prima_reposicion | 7 | T | L69 |
equilibrar_capacidad_personal_inventario_plazo | 1 | T | L57 |
equilibrar_capacidad_personal_inventario_plazo | 2 | T | L57 |
equilibrar_capacidad_personal_inventario_plazo | 3 | T | L59 |
equilibrar_capacidad_personal_inventario_plazo | 4 | T | L59 |
equilibrar_capacidad_personal_inventario_plazo | 5 | T | L59 |
equilibrar_capacidad_personal_inventario_plazo | 6 | T | L59 |
equilibrar_capacidad_personal_inventario_plazo | 7 | T | L61 |
equilibrar_capacidad_personal_inventario_plazo | 8 | T | L61 |
preferir_inspeccion_proceso_prueba_destructiva | 1 | T | L67 |
preferir_inspeccion_proceso_prueba_destructiva | 2 | T | L67 |
preferir_inspeccion_proceso_prueba_destructiva | 3 | T | L67 |
preferir_inspeccion_proceso_prueba_destructiva | 4 | T | L67 |
preferir_inspeccion_proceso_prueba_destructiva | 5 | T | L67 |
preferir_inspeccion_proceso_prueba_destructiva | 6 | T | L67 |
rehacer_flujo_paso_limitante_capacidad | 1 | T | L51 |
rehacer_flujo_paso_limitante_capacidad | 2 | T | L51 |
rehacer_flujo_paso_limitante_capacidad | 3 | T | L51 |
rehacer_flujo_paso_limitante_capacidad | 4 | T | L53 |
rehacer_flujo_paso_limitante_capacidad | 5 | T | L53,L51 |
rehacer_flujo_paso_limitante_capacidad | 6 | T | L51 |
casar_flujo_fabricacion_flujo_ventas | 1 | T | L111 |
casar_flujo_fabricacion_flujo_ventas | 2 | T | L111 |
casar_flujo_fabricacion_flujo_ventas | 3 | T | L111 |
casar_flujo_fabricacion_flujo_ventas | 4 | T | L111 |
casar_flujo_fabricacion_flujo_ventas | 5 | T | L113 |
casar_flujo_fabricacion_flujo_ventas | 6 | T | L113 |
casar_flujo_fabricacion_flujo_ventas | 7 | T | L115 |
casar_flujo_fabricacion_flujo_ventas | 8 | T | L119 |
casar_flujo_fabricacion_flujo_ventas | 9 | T | L119 |
casar_flujo_fabricacion_flujo_ventas | 10 | T | L119 |
casar_flujo_fabricacion_flujo_ventas | 11 | T | L119 | remite a la regla de menor valor de cap_02 L75 (as we have learned before)
casar_flujo_fabricacion_flujo_ventas | 12 | T | L121 | nombra el grafico escalonado, cuyo procedimiento esta en L91 a L97 (candidato de d005)
construir_indicador_linealidad_alerta_temprana | 1 | T | L83 |
construir_indicador_linealidad_alerta_temprana | 2 | T | L83 |
construir_indicador_linealidad_alerta_temprana | 3 | T | L83 |
construir_indicador_linealidad_alerta_temprana | 4 | T | L83 | punto por punto es del extractor, leve
construir_indicador_linealidad_alerta_temprana | 5 | T | L83 |
construir_indicador_linealidad_alerta_temprana | 6 | T | L83 |
construir_indicador_linealidad_alerta_temprana | 7 | T | L87 |
construir_indicador_linealidad_alerta_temprana | 8 | T | L87 |
construir_indicador_linealidad_alerta_temprana | 9 | T | L87 |
decidir_aceptar_rechazar_material_defectuoso | 1 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 2 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 3 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 4 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 5 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 6 | T | L135 |
decidir_aceptar_rechazar_material_defectuoso | 7 | T | L137 |
decidir_aceptar_rechazar_material_defectuoso | 8 | T | L137 |
dimensionar_plantilla_administrativa_pronostico | 1 | T | L125 | nombra los indicadores administrativos de L35 a L67 (candidato de d005)
dimensionar_plantilla_administrativa_pronostico | 2 | T | L125,L123 | nombra los datos de tendencia de L89 (candidato de d005)
dimensionar_plantilla_administrativa_pronostico | 3 | T | L125 |
dimensionar_plantilla_administrativa_pronostico | 4 | T | L123 |
dimensionar_plantilla_administrativa_pronostico | 5 | T | L125 |
dimensionar_plantilla_administrativa_pronostico | 6 | T | L125 |
dimensionar_plantilla_administrativa_pronostico | 7 | T | L125 |
elegir_cinco_indicadores_diarios_fabrica | 1 | T | L15 |
elegir_cinco_indicadores_diarios_fabrica | 2 | T | L17 |
elegir_cinco_indicadores_diarios_fabrica | 3 | T | L19 |
elegir_cinco_indicadores_diarios_fabrica | 4 | T | L19 |
elegir_cinco_indicadores_diarios_fabrica | 5 | T | L21 |
elegir_cinco_indicadores_diarios_fabrica | 6 | T | L23 |
elegir_cinco_indicadores_diarios_fabrica | 7 | T | L25 |
elegir_cinco_indicadores_diarios_fabrica | 8 | T | L27 |
elegir_cinco_indicadores_diarios_fabrica | 9 | T | L27 |
elegir_cinco_indicadores_diarios_fabrica | 10 | T | L29,L27 |
elegir_inspeccion_barrera_monitorizacion | 1 | T | L139 |
elegir_inspeccion_barrera_monitorizacion | 2 | T | L139 |
elegir_inspeccion_barrera_monitorizacion | 3 | T | L139 |
elegir_inspeccion_barrera_monitorizacion | 4 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 5 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 6 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 7 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 8 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 9 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 10 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 11 | T | L141 |
elegir_inspeccion_barrera_monitorizacion | 12 | T | L141 |
representar_actividad_caja_negra_ventanas | 1 | T | L73 |
representar_actividad_caja_negra_ventanas | 2 | T | L73 |
representar_actividad_caja_negra_ventanas | 3 | T | L73 |
representar_actividad_caja_negra_ventanas | 4 | T | L73 |
representar_actividad_caja_negra_ventanas | 5 | T | L73 | ejemplo del libro puesto como paso
representar_actividad_caja_negra_ventanas | 6 | T | L73 | ejemplo del libro puesto como paso
representar_actividad_caja_negra_ventanas | 7 | T | L73 | ejemplo del libro puesto como paso
representar_actividad_caja_negra_ventanas | 8 | T | L77 |
representar_actividad_caja_negra_ventanas | 9 | T | L77 |
simplificar_trabajo_reducir_numero_pasos | 1 | T | L169 |
simplificar_trabajo_reducir_numero_pasos | 2 | T | L169 |
simplificar_trabajo_reducir_numero_pasos | 3 | T | L169 |
simplificar_trabajo_reducir_numero_pasos | 4 | T | L169 |
simplificar_trabajo_reducir_numero_pasos | 5 | T | L171 |
simplificar_trabajo_reducir_numero_pasos | 6 | T | L171 |
simplificar_trabajo_reducir_numero_pasos | 7 | T | L171 |
variar_frecuencia_inspeccion_nivel_calidad | 1 | T | L143 |
variar_frecuencia_inspeccion_nivel_calidad | 2 | T | L143 |
variar_frecuencia_inspeccion_nivel_calidad | 3 | T | L143 |
variar_frecuencia_inspeccion_nivel_calidad | 4 | T | L143 |
variar_frecuencia_inspeccion_nivel_calidad | 5 | T | L143 |
