LOS 91 QUE YA TIENEN VEREDICTO DE ADUANA CORRIDO
candidato                                                  veredicto     pobl  fichero
acumular_asuntos_importantes_fichero_espera                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
agrupar_interrupciones_subordinados_reuniones_regulares    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
agrupar_tareas_semejantes_aprovechar_preparacion           BLOQUEARIA     423  .v55ext/informe_de_lote.txt
alentar_asuntos_corazon_vigilar_final_reunion              BLOQUEARIA     423  .v55ext/informe_de_lote.txt
anunciar_decision_inesperada_reconvocar_reunion            BLOQUEARIA     423  .v55ext/informe_de_lote.txt
archivar_indicadores_resolver_problemas                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
buscar_actividad_alta_palanca_tres_vias                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
buscar_regularidad_bloques_iguales_trabajo_mando           BLOQUEARIA     423  .v55ext/informe_de_lote.txt
canalizar_interrupciones_cartel_hora_oficina               BLOQUEARIA     423  .v55ext/informe_de_lote.txt
casar_flujo_fabricacion_flujo_ventas                       ENTRARIA       423  .v55ext/informe_de_lote.txt
cerrar_brecha_dos_preguntas_estrategia                     BLOQUEARIA     423  .v55ext/aduana_p14.txt
clasificar_trabajo_proceso_montaje_prueba                  BLOQUEARIA     423  .v55ext/informe_de_lote.txt
conducir_etapas_modelo_ideal_decision                      ENTRARIA       423  .v55ext/informe_de_lote.txt
conducir_reunion_individual_telefono_distancia             BLOQUEARIA     423  .v55ext/informe_de_lote.txt
construir_flujo_produccion_paso_limitante                  BLOQUEARIA     423  .v55ext/informe_de_lote.txt
construir_grafico_escalonado_pronosticos                   BLOQUEARIA     423  .v55ext/informe_de_lote.txt
construir_indicador_linealidad_alerta_temprana             ENTRARIA       423  .v55ext/informe_de_lote.txt
construir_indicador_tendencia_patron                       BLOQUEARIA     423  .v55ext/informe_de_lote.txt
contestar_dos_preguntas_direccion_objetivos                BLOQUEARIA     423  .v55ext/aduana_p27.txt
cortar_discusion_libre_momento_justo                       BLOQUEARIA     423  .v55ext/informe_de_lote.txt
cubrir_indicadores_problemas_reunion_individual            BLOQUEARIA     423  .v55ext/informe_de_lote.txt
decidir_aceptar_rechazar_material_defectuoso               ENTRARIA       423  .v55ext/informe_de_lote.txt
decidir_amistad_subordinado_prueba_revision_dificil        BLOQUEARIA     437  .v59ext/informe59_7_decidir_amistad.txt
decidir_nivel_competente_inferior                          BLOQUEARIA     423  .v55ext/informe_de_lote.txt
decir_no_trabajo_excede_capacidad                          BLOQUEARIA     423  .v55ext/informe_de_lote.txt
definir_entorno_grupo_clientes_proveedores_competidores    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
delegar_tarea_base_comun_seguimiento                       ENTRARIA       423  .v55ext/informe_de_lote.txt
