construir_flujo_produccion_paso_limitante        pob 479 barrido  3 | con linea  3 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
clasificar_trabajo_proceso_montaje_prueba        pob 479 barrido  1 | con linea  1 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
rehacer_flujo_paso_limitante_capacidad           pob 479 barrido  3 | con linea  3 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
equilibrar_capacidad_personal_inventario_plazo   pob 479 barrido  1 | con linea  1 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
preferir_inspeccion_proceso_prueba_destructiva   pob 479 barrido  4 | con linea  4 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
dimensionar_inventario_materia_prima_reposicion  pob 479 barrido  2 | con linea  2 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
detectar_arreglar_fallo_etapa_menor_valor        pob 479 barrido  1 | con linea  1 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
elegir_cinco_indicadores_diarios_fabrica         pob 479 barrido  0 | con linea  0 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
emparejar_indicadores_efecto_contraefecto        pob 479 barrido  6 | con linea  6 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
elegir_indicador_salida_trabajo_administrativo   pob 479 barrido  3 | con linea  3 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
representar_actividad_caja_negra_ventanas        pob 479 barrido  0 | con linea  0 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
construir_indicador_linealidad_alerta_temprana   pob 479 barrido  0 | con linea  0 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
construir_indicador_tendencia_patron             pob 479 barrido  6 | con linea  6 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
construir_grafico_escalonado_pronosticos         pob 479 barrido  3 | con linea  3 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
archivar_indicadores_resolver_problemas          pob 479 barrido  4 | con linea  4 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
elegir_fabricar_pedido_pronostico                pob 479 barrido  2 | con linea  2 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
casar_flujo_fabricacion_flujo_ventas             pob 479 barrido  0 | con linea  0 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
dimensionar_plantilla_administrativa_pronostico  pob 479 barrido  6 | con linea  6 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
decidir_aceptar_rechazar_material_defectuoso     pob 479 barrido  1 | con linea  1 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
elegir_inspeccion_barrera_monitorizacion         pob 479 barrido  2 | con linea  2 | sin linea  0 (de marquet nuevo 0) | linea sin vecino hoy 0
pares del barrido 48 | con linea adjudicada 48 | sin linea 0, de ellos de los 17 de marquet 0 | lineas sin vecino hoy 0 | candidatos sin barrido 0
lineas adjudicadas en total: 49 en 17 bloques
