archivar_indicadores_resolver_problemas | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.361 fam 0.143 paso 0.42 | paso 2 del candidato contra paso 3 de construir_indicador_tendencia_patron
archivar_indicadores_resolver_problemas | revisar_tres_preguntas_valor_carrera | grafo | similitud_texto | sim 0.369 fam 0.0 paso 0.414 | paso 2 del candidato contra paso 1 de revisar_tres_preguntas_valor_carrera
archivar_indicadores_resolver_problemas | vencer_sindrome_grupo_pares_autoconfianza | bandeja | similitud_texto | sim 0.364 fam 0.0 paso 0.405 | paso 1 del candidato contra paso 5 de vencer_sindrome_grupo_pares_autoconfianza
archivar_indicadores_resolver_problemas | cerrar_brecha_dos_preguntas_estrategia | bandeja | similitud_texto | sim 0.353 fam 0.0 paso 0.393 | paso 4 del candidato contra paso 6 de cerrar_brecha_dos_preguntas_estrategia
clasificar_trabajo_proceso_montaje_prueba | preferir_inspeccion_proceso_prueba_destructiva | grafo | similitud_texto | sim 0.372 fam 0.25 paso 0.461 | paso 5 del candidato contra paso 6 de preferir_inspeccion_proceso_prueba_destructiva
construir_flujo_produccion_paso_limitante | retirar_barreras_politicas_metodo | grafo | paso_contra_nodo | sim 0.108 fam 0.0 paso 0.614 | paso 4 del candidato contra paso 1 de retirar_barreras_politicas_metodo
construir_flujo_produccion_paso_limitante | rehacer_flujo_paso_limitante_capacidad | grafo | similitud_texto,familia_id | sim 0.412 fam 0.429 paso 0.43 | paso 9 del candidato contra paso 5 de rehacer_flujo_paso_limitante_capacidad
construir_flujo_produccion_paso_limitante | preferir_inspeccion_proceso_prueba_destructiva | grafo | similitud_texto | sim 0.397 fam 0.0 paso 0.421 | paso 8 del candidato contra paso 6 de preferir_inspeccion_proceso_prueba_destructiva
construir_grafico_escalonado_pronosticos | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.365 fam 0.143 paso 0.453 | paso 4 del candidato contra paso 5 de construir_indicador_tendencia_patron
construir_grafico_escalonado_pronosticos | elegir_fabricar_pedido_pronostico | grafo | similitud_texto | sim 0.393 fam 0.143 paso 0.453 | paso 7 del candidato contra paso 4 de elegir_fabricar_pedido_pronostico
construir_grafico_escalonado_pronosticos | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.378 fam 0.0 paso 0.434 | paso 1 del candidato contra paso 3 de emparejar_indicadores_efecto_contraefecto
construir_indicador_tendencia_patron | construir_grafico_escalonado_pronosticos | grafo | similitud_texto | sim 0.362 fam 0.143 paso 0.461 | paso 5 del candidato contra paso 4 de construir_grafico_escalonado_pronosticos
construir_indicador_tendencia_patron | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.393 fam 0.143 paso 0.427 | paso 5 del candidato contra paso 2 de emparejar_indicadores_efecto_contraefecto
construir_indicador_tendencia_patron | archivar_indicadores_resolver_problemas | grafo | similitud_texto | sim 0.365 fam 0.143 paso 0.427 | paso 2 del candidato contra paso 1 de archivar_indicadores_resolver_problemas
construir_indicador_tendencia_patron | equilibrar_capacidad_personal_inventario_plazo | grafo | similitud_texto | sim 0.353 fam 0.0 paso 0.424 | paso 1 del candidato contra paso 4 de equilibrar_capacidad_personal_inventario_plazo
construir_indicador_tendencia_patron | dimensionar_plantilla_administrativa_pronostico | grafo | similitud_texto | sim 0.373 fam 0.0 paso 0.405 | paso 5 del candidato contra paso 6 de dimensionar_plantilla_administrativa_pronostico
construir_indicador_tendencia_patron | elegir_indicador_salida_trabajo_administrativo | grafo | similitud_texto | sim 0.378 fam 0.125 paso 0.378 | paso 5 del candidato contra paso 3 de elegir_indicador_salida_trabajo_administrativo
decidir_aceptar_rechazar_material_defectuoso | dimensionar_plantilla_administrativa_pronostico | grafo | similitud_texto | sim 0.372 fam 0.0 paso 0.364 | paso 4 del candidato contra paso 2 de dimensionar_plantilla_administrativa_pronostico
detectar_arreglar_fallo_etapa_menor_valor | supervisar_tarea_delegada_etapa_menor_valor | bandeja | familia_id | sim 0.242 fam 0.333 paso 0.459 | paso 2 del candidato contra paso 1 de supervisar_tarea_delegada_etapa_menor_valor
dimensionar_inventario_materia_prima_reposicion | preferir_inspeccion_proceso_prueba_destructiva | grafo | similitud_texto | sim 0.391 fam 0.0 paso 0.403 | paso 2 del candidato contra paso 2 de preferir_inspeccion_proceso_prueba_destructiva
dimensionar_inventario_materia_prima_reposicion | detectar_arreglar_fallo_etapa_menor_valor | grafo | similitud_texto | sim 0.357 fam 0.0 paso 0.401 | paso 1 del candidato contra paso 2 de detectar_arreglar_fallo_etapa_menor_valor
dimensionar_plantilla_administrativa_pronostico | elegir_fabricar_pedido_pronostico | grafo | similitud_texto | sim 0.353 fam 0.143 paso 0.455 | paso 3 del candidato contra paso 7 de elegir_fabricar_pedido_pronostico
dimensionar_plantilla_administrativa_pronostico | elegir_cinco_indicadores_diarios_fabrica | grafo | similitud_texto | sim 0.351 fam 0.0 paso 0.434 | paso 6 del candidato contra paso 3 de elegir_cinco_indicadores_diarios_fabrica
dimensionar_plantilla_administrativa_pronostico | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.38 fam 0.0 paso 0.405 | paso 2 del candidato contra paso 6 de construir_indicador_tendencia_patron
dimensionar_plantilla_administrativa_pronostico | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.36 fam 0.0 paso 0.396 | paso 2 del candidato contra paso 4 de emparejar_indicadores_efecto_contraefecto
dimensionar_plantilla_administrativa_pronostico | simplificar_trabajo_reducir_numero_pasos | bandeja | similitud_texto | sim 0.351 fam 0.0 paso 0.388 | paso 6 del candidato contra paso 6 de simplificar_trabajo_reducir_numero_pasos
dimensionar_plantilla_administrativa_pronostico | decidir_aceptar_rechazar_material_defectuoso | grafo | similitud_texto | sim 0.367 fam 0.0 paso 0.359 | paso 2 del candidato contra paso 3 de decidir_aceptar_rechazar_material_defectuoso
elegir_fabricar_pedido_pronostico | construir_grafico_escalonado_pronosticos | grafo | similitud_texto | sim 0.387 fam 0.143 paso 0.44 | paso 4 del candidato contra paso 7 de construir_grafico_escalonado_pronosticos
elegir_fabricar_pedido_pronostico | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.362 fam 0.0 paso 0.419 | paso 2 del candidato contra paso 3 de emparejar_indicadores_efecto_contraefecto
elegir_indicador_salida_trabajo_administrativo | evaluar_directivo_resultados_fortaleza | grafo | paso_contra_nodo | sim 0.17 fam 0.0 paso 0.766 | paso 2 del candidato contra paso 1 de evaluar_directivo_resultados_fortaleza
elegir_indicador_salida_trabajo_administrativo | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.394 fam 0.125 paso 0.489 | paso 3 del candidato contra paso 4 de emparejar_indicadores_efecto_contraefecto
elegir_indicador_salida_trabajo_administrativo | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.374 fam 0.125 paso 0.403 | paso 6 del candidato contra paso 3 de construir_indicador_tendencia_patron
elegir_inspeccion_barrera_monitorizacion | construir_grafico_escalonado_pronosticos | grafo | similitud_texto | sim 0.365 fam 0.0 paso 0.454 | paso 6 del candidato contra paso 4 de construir_grafico_escalonado_pronosticos
elegir_inspeccion_barrera_monitorizacion | emparejar_indicadores_efecto_contraefecto | grafo | similitud_texto | sim 0.374 fam 0.0 paso 0.45 | paso 11 del candidato contra paso 4 de emparejar_indicadores_efecto_contraefecto
emparejar_indicadores_efecto_contraefecto | elegir_indicador_salida_trabajo_administrativo | grafo | similitud_texto | sim 0.383 fam 0.125 paso 0.468 | paso 4 del candidato contra paso 3 de elegir_indicador_salida_trabajo_administrativo
emparejar_indicadores_efecto_contraefecto | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.397 fam 0.143 paso 0.453 | paso 3 del candidato contra paso 5 de construir_indicador_tendencia_patron
emparejar_indicadores_efecto_contraefecto | construir_grafico_escalonado_pronosticos | grafo | similitud_texto | sim 0.384 fam 0.0 paso 0.446 | paso 3 del candidato contra paso 1 de construir_grafico_escalonado_pronosticos
emparejar_indicadores_efecto_contraefecto | elegir_cinco_indicadores_diarios_fabrica | grafo | similitud_texto | sim 0.359 fam 0.125 paso 0.445 | paso 4 del candidato contra paso 8 de elegir_cinco_indicadores_diarios_fabrica
