| linea de los22 | candidato | cap | pieza | leida en | pasos | PUENTE | vecinos hoy | con linea | sin linea | filas mias ciegas | aristas vivas |
|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|
| 1 | `construir_flujo_produccion_paso_limitante` | `cap_02` | P2 | `b63405c` | 10 | 0 | 3 | 3 | 0 | 2 | 1 |
| 2 | `clasificar_trabajo_proceso_montaje_prueba` | `cap_02` | P5 | `b63405c` | 7 | 0 | 1 | 1 | 0 | 1 | 0 |
| 3 | `rehacer_flujo_paso_limitante_capacidad` | `cap_02` | P6 | `b63405c` | 6 | 0 | 3 | 3 | 0 | 2 | 2 |
| 4 | `equilibrar_capacidad_personal_inventario_plazo` | `cap_02` | P7 | `b63405c` | 8 | 4 | 1 | 1 | 0 | 0 | 1 |
| 5 | `preferir_inspeccion_proceso_prueba_destructiva` | `cap_02` | P9 | `b63405c` | 6 | 0 | 4 | 4 | 0 | 4 | 0 |
| 6 | `dimensionar_inventario_materia_prima_reposicion` | `cap_02` | P10 | `b63405c` | 7 | 0 | 2 | 2 | 0 | 1 | 2 |
| 7 | `detectar_arreglar_fallo_etapa_menor_valor` | `cap_02` | P11 | `b63405c` | 6 | 0 | 1 | 1 | 0 | 0 | 1 |
| 8 | `elegir_cinco_indicadores_diarios_fabrica` | `cap_03` | P2 | `b63405c` | 10 | 0 | 0 | 0 | 0 | 0 | 0 |
| 9 | `emparejar_indicadores_efecto_contraefecto` | `cap_03` | P3 | `997054d` | 7 | 0 | 6 | 6 | 0 | 2 | 1 |
| 10 | `elegir_indicador_salida_trabajo_administrativo` | `cap_03` | P4 | `997054d` | 7 | 0 | 3 | 3 | 0 | 0 | 2 |
| 11 | `representar_actividad_caja_negra_ventanas` | `cap_03` | P7 | `b63405c` | 9 | 0 | 0 | 0 | 0 | 0 | 2 |
| 12 | `construir_indicador_linealidad_alerta_temprana` | `cap_03` | P9 | `b63405c` | 9 | 0 | 0 | 0 | 0 | 0 | 1 |
| 13 | `construir_indicador_tendencia_patron` | `cap_03` | P10 | `997054d` | 6 | 0 | 6 | 6 | 0 | 0 | 2 |
| 14 | `construir_grafico_escalonado_pronosticos` | `cap_03` | P11 | `997054d` | 8 | 1 | 3 | 3 | 0 | 0 | 1 |
| 15 | `archivar_indicadores_resolver_problemas` | `cap_03` | P12 | `997054d` | 4 | 0 | 4 | 4 | 0 | 0 | 0 |
| 16 | `elegir_fabricar_pedido_pronostico` | `cap_03` | P13 | `997054d` | 9 | 1 | 2 | 2 | 0 | 0 | 1 |
| 17 | `casar_flujo_fabricacion_flujo_ventas` | `cap_03` | P14 | `b63405c` | 12 | 0 | 0 | 0 | 0 | 0 | 2 |
| 18 | `dimensionar_plantilla_administrativa_pronostico` | `cap_03` | P15 | `b63405c` | 7 | 0 | 6 | 6 | 0 | 4 | 2 |
| 19 | `decidir_aceptar_rechazar_material_defectuoso` | `cap_03` | P17 | `b63405c` | 8 | 0 | 1 | 1 | 0 | 1 | 1 |
| 20 | `elegir_inspeccion_barrera_monitorizacion` | `cap_03` | P18 | `b63405c` | 12 | 0 | 2 | 2 | 0 | 0 | 0 |
