INICIO 2026-09-24 03:49:49
simplificar_trabajo_reducir_numero_pasos rc=0 segundos=1221
reunir_informacion_gerencial_vias_variadas rc=0 segundos=1305
programar_visita_area_observar_despachar rc=0 segundos=1410
escalonar_fuentes_informacion_gerencial rc=0 segundos=1433
variar_frecuencia_inspeccion_nivel_calidad rc=0 segundos=1554
subir_productividad_gerencial_tres_vias rc=0 segundos=1064
empujar_persona_reunion_direccion_preferida rc=0 segundos=1239
buscar_actividad_alta_palanca_tres_vias rc=0 segundos=1128
transmitir_objetivos_prioridades_preferencias rc=0 segundos=1356
elegir_momento_actividad_palanca_maxima rc=0 segundos=1411
supervisar_decision_delegada_preguntas_concretas rc=0 segundos=929
identificar_paso_limitante_jornada_desfases rc=0 segundos=1068
supervisar_tarea_delegada_etapa_menor_valor rc=0 segundos=1473
detectar_palanca_negativa_actividad_mando rc=0 segundos=1772
delegar_tarea_base_comun_seguimiento rc=0 segundos=1739
agrupar_tareas_semejantes_aprovechar_preparacion rc=0 segundos=1205
usar_calendario_herramienta_planificacion_produccion rc=0 segundos=1646
decir_no_trabajo_excede_capacidad rc=0 segundos=1670
llevar_inventario_proyectos_discrecionales rc=0 segundos=1463
buscar_regularidad_bloques_iguales_trabajo_mando rc=0 segundos=2254
agrupar_interrupciones_subordinados_reuniones_regulares rc=0 segundos=1650
canalizar_interrupciones_cartel_hora_oficina rc=0 segundos=2085
preparar_respuestas_estandar_interrupciones_repetidas rc=0 segundos=2130
dimensionar_numero_subordinados_medio_dia_semanal rc=0 segundos=3767
TODOS TERMINADOS 2026-09-24 06:04:00
