INICIO 2026-09-24 18:29:53
infundir_regularidad_reunion_proceso rc=0 segundos=2400
usar_tres_clases_reunion_proceso rc=0 segundos=2418
fijar_duracion_lugar_reunion_individual rc=0 segundos=3195
preparar_guion_reunion_individual_subordinado rc=0 segundos=3301
fijar_frecuencia_reunion_individual_madurez_tarea rc=0 segundos=3442
facilitar_expresion_subordinado_pregunta_mas rc=0 segundos=3128
acumular_asuntos_importantes_fichero_espera rc=0 segundos=2933
tomar_notas_copia_guion_reunion_individual rc=0 segundos=3286
cubrir_indicadores_problemas_reunion_individual rc=0 segundos=4566
alentar_asuntos_corazon_vigilar_final_reunion rc=0 segundos=3597
vencer_sindrome_grupo_pares_autoconfianza rc=0 segundos=1033
decidir_nivel_competente_inferior rc=0 segundos=1424
conducir_etapas_modelo_ideal_decision rc=0 segundos=1984
tomar_mando_reunion_pares_presidente_ausente rc=0 segundos=980
conducir_reunion_individual_telefono_distancia rc=0 segundos=3733
cortar_discusion_libre_momento_justo rc=0 segundos=1016
ejercer_poder_posicion_etapa_decision_clara rc=0 segundos=1222
anunciar_decision_inesperada_reconvocar_reunion rc=0 segundos=865
zanjar_seis_preguntas_decision_adelantado rc=0 segundos=1095
programar_reunion_individual_cadena rc=0 segundos=4200
TODOS TERMINADOS 2026-09-24 21:23:47
