| pieza | lineas | palabras | que es | clase |
|---|---|---:|---|---|
| R1 | L9 | 1 | rotulo GLOSSARY | RESIDUO: rotulo |
| R2 | L11 | 6 | subtitulo Technical Terms, Slang, and Military Jargon | RESIDUO: rotulo |
| R3 | L13 | 8 | entrada de glosario, termino 1MC: 1MC Loudspeaker system allowing announcements throughout the | RESIDUO: entrada de glosario |
| R4 | L15 | 33 | entrada de glosario, termino ADCAP: ADCAP “Advanced Capability”-Mk 48 ADCAP torpedo. The main he | RESIDUO: entrada de glosario |
| R5 | L17 | 24 | entrada de glosario, termino ANAV: ANAV Assistant Navigator. A senior enlisted man in the navig | RESIDUO: entrada de glosario |
| R6 | L19 | 17 | entrada de glosario, termino AWOL: AWOL Absent without leave. Also known as UA, unauthorized ab | RESIDUO: entrada de glosario |
| R7 | L21 | 36 | entrada de glosario, termino BSP: BSP Brief stop for personnel. A quick entry into port during | RESIDUO: entrada de glosario |
| R8 | L23 | 37 | entrada de glosario, termino BULL: BULL NUKE Senior nuclear-trained chief. Initially Chief Brad | RESIDUO: entrada de glosario |
| R9 | L25 | 55 | entrada de glosario, termino CAPTAIN: CAPTAIN By rank, an O6. The rank above commander and below r | RESIDUO: entrada de glosario |
| R10 | L27 | 12 | entrada de glosario, termino CO: CO Commanding officer, “captain” of a nuclear-powered submar | RESIDUO: entrada de glosario |
| R11 | L29 | 28 | entrada de glosario, termino COB: COB Chief of the boat. The senior enlisted man on the submar | RESIDUO: entrada de glosario |
| R12 | L31 | 21 | entrada de glosario, termino CONN: CONN Raised area in the control room around the periscope st | RESIDUO: entrada de glosario |
| R13 | L33 | 24 | entrada de glosario, termino CONTROL: CONTROL The control room. A room in the forward compartment, | RESIDUO: entrada de glosario |
| R14 | L35 | 26 | entrada de glosario, termino COPY: COPY Radio download from the satellite. The download came un | RESIDUO: entrada de glosario |
| R15 | L37 | 39 | entrada de glosario, termino CORPSMAN: CORPSMAN Medically trained petty officer or chief assigned t | RESIDUO: entrada de glosario |
| R16 | L39 | 29 | entrada de glosario, termino COW: COW Chief of the watch. The watch stander responsible for op | RESIDUO: entrada de glosario |
| R17 | L41 | 67 | entrada de glosario, termino CSP: CSP COMSUBPAC. Commander, Submarine Forces, Pacific. The off | RESIDUO: entrada de glosario |
| R18 | L43 | 56 | entrada de glosario, termino DEPLOYMENT: DEPLOYMENT Scheduled six-month tour away from home port. Sub | RESIDUO: entrada de glosario |
| R19 | L45 | 17 | entrada de glosario, termino DIM: DIM Daily intentions message. A scripted message transmitted | RESIDUO: entrada de glosario |
| R20 | L47 | 3 | entrada de glosario, termino DOC: DOC See Corpsman. | RESIDUO: entrada de glosario |
| R21 | L49 | 22 | entrada de glosario, termino DOOW: DOOW Diving officer of the watch, also called “Dive,” the wa | RESIDUO: entrada de glosario |
| R22 | L51 | 3 | entrada de glosario, termino DOWNLOAD: DOWNLOAD See Copy. | RESIDUO: entrada de glosario |
| R23 | L53 | 35 | entrada de glosario, termino EAB: EAB Emergency air breathing device. A mask, connected with a | RESIDUO: entrada de glosario |
| R24 | L55 | 31 | entrada de glosario, termino ENG: ENG OR CHENG Engineer or chief engineer. Responsible for the | RESIDUO: entrada de glosario |
| R25 | L57 | 21 | entrada de glosario, termino EP: EP Early promote. The highest fitness report evaluation. No  | RESIDUO: entrada de glosario |
| R26 | L59 | 25 | entrada de glosario, termino EPM: EPM Electric propulsion motor. A backup electric motor used  | RESIDUO: entrada de glosario |
| R27 | L61 | 27 | entrada de glosario, termino ESL: ESL Equipment status log. A list of all equipment in a reduc | RESIDUO: entrada de glosario |
| R28 | L63 | 34 | entrada de glosario, termino ET: ET Electronics technician. An electronics technician was ref | RESIDUO: entrada de glosario |
| R29 | L65 | 20 | entrada de glosario, termino FCS: FCS Fire control system. The computer system used to program | RESIDUO: entrada de glosario |
| R30 | L67 | 7 | entrada de glosario, termino FFV: FFV Fresh fruits and vegetables, when resupplied. | RESIDUO: entrada de glosario |
| R31 | L69 | 6 | entrada de glosario, termino FITREP: FITREP Fitness Report. Annual evaluation report. | RESIDUO: entrada de glosario |
| R32 | L71 | 17 | entrada de glosario, termino FT: FT Fire control technician. Fire control refers to control o | RESIDUO: entrada de glosario |
| R33 | L73 | 30 | entrada de glosario, termino INSURV: INSURV A material inspection by a group of officers from the | RESIDUO: entrada de glosario |
| R34 | L75 | 19 | entrada de glosario, termino KHAKIS: KHAKIS The officers and chiefs taken together as a group. So | RESIDUO: entrada de glosario |
| R35 | L77 | 30 | entrada de glosario, termino MANEUVERING: MANEUVERING A control room within the engine room where the  | RESIDUO: entrada de glosario |
| R36 | L79 | 14 | entrada de glosario, termino MESSAGE: MESSAGE BOARDS Clipboard on which radio messages were routed | RESIDUO: entrada de glosario |
