$ grep -h "^fin " .v70ext/insertar_*.txt
fin 2026-09-25 03:41:25 | codigo de salida 0 | 2565.0 s
fin 2026-09-25 04:25:05 | codigo de salida 0 | 2545.9 s
fin 2026-09-25 05:25:32 | codigo de salida 0 | 3566.0 s
fin 2026-09-25 06:20:10 | codigo de salida 0 | 3223.4 s
fin 2026-09-25 07:16:18 | codigo de salida 0 | 3302.0 s
fin 2026-09-25 08:27:47 | codigo de salida 0 | 4236.0 s
fin 2026-09-25 09:17:47 | codigo de salida 0 | 2941.0 s
fin 2026-09-25 09:59:22 | codigo de salida 0 | 2441.0 s
fin 2026-09-25 10:33:16 | codigo de salida 0 | 1975.8 s
fin 2026-09-25 11:29:38 | codigo de salida 0 | 3310.2 s
fin 2026-09-25 12:22:13 | codigo de salida 0 | 3045.1 s
fin 2026-09-25 13:23:00 | codigo de salida 0 | 3593.2 s
fin 2026-09-25 13:51:58 | codigo de salida 0 | 1674.4 s
fin 2026-09-25 14:11:45 | codigo de salida 0 | 1130.0 s
fin 2026-09-25 14:25:12 | codigo de salida 0 | 747.0 s
fin 2026-09-25 14:40:25 | codigo de salida 0 | 860.1 s
fin 2026-09-25 14:57:15 | codigo de salida 0 | 955.0 s
fin 2026-09-25 15:16:39 | codigo de salida 0 | 1104.7 s
fin 2026-09-25 15:31:56 | codigo de salida 0 | 864.0 s
fin 2026-09-25 15:51:34 | codigo de salida 0 | 1121.8 s
