aplicar_cinco_pasos_proceso_contratacion                 avisos 0 | errores 0
aplicar_ocho_reglas_juego_personas                       avisos 0 | errores 0
aplicar_seis_pasos_sistema_venta                         avisos 0 | errores 0
cambiar_saludo_cliente_dos_ramas                         avisos 0 | errores 0
construir_empresa_plantilla_vision_diaria                avisos 0 | errores 0
construir_estrategia_gente_cuatro_componentes            avisos 0 | errores 0
cuantificar_impacto_innovacion_6_pasos                   avisos 0 | errores 0
dar_valor_constante_cuatro_publicos                      avisos 0 | errores 0
dictar_ritmo_crecimiento_preguntas_escritas              avisos 0 | errores 0
distinguir_tres_tipos_sistemas_negocio                   avisos 0 | errores 0
documentar_trabajo_manual_operaciones                    avisos 0 | errores 0
fingir_prototipo_cinco_mil_replicas                      avisos 0 | errores 0
hacer_trabajo_futuro_imaginar_negocio                    avisos 0 | errores 0
interrogar_negocio_cinco_preguntas                       avisos 0 | errores 0
medir_sistema_venta_trece_indicadores_benchmark          avisos 0 | errores 0
operar_modelo_gente_destreza_minima                      avisos 0 | errores 0
probar_traje_azul_seis_semanas                           avisos 0 | errores 0
recorrer_siete_pasos_programa_desarrollo_negocio         avisos 0 | errores 0
responder_4_preguntas_estandares_objetivo_estrategico    avisos 0 | errores 0
responder_8_preguntas_construir_primary_aim              avisos 0 | errores 0
trazar_modelo_negocio_cliente_primero                    avisos 0 | errores 0
unificar_color_forma_vestuario_modelo                    avisos 0 | errores 0
