zhuo_manager | acordar_plan_conjunto_jefe | Acordar con tu jefe un plan conjunto para empezar
zhuo_manager | admitir_errores_areas_mejora_propias | Admitir tus propios errores y tus propias areas de mejora
zhuo_manager | alinear_equipo_proposito_comun | Alinear al equipo con un proposito comun
zhuo_manager | aprovechar_formacion_reglada | Aprovechar la formacion reglada cuando tengas la oportunidad
zhuo_manager | asegurar_opinion_llega_persona | Asegurar que tu opinion llega de verdad a quien la recibe
zhuo_manager | atender_modo_supervivencia_equipo | Atender el modo supervivencia antes de invertir en el largo plazo
zhuo_manager | avisar_pronto_incumplimiento_expectativas | Avisar pronto de que alguien no cumple expectativas, en vez de guardarlo para la revision
zhuo_manager | ayudar_personas_jugar_fortalezas | Ayudar a cada persona de tu equipo a jugar con sus fortalezas
zhuo_manager | calibrar_normalidad_preguntas_jefe | Calibrar con tu jefe que es lo normal en el entorno nuevo
zhuo_manager | calibrar_vision_propia_opinion_ajena | Calibrar la vision que tienes de ti con la opinion sin barnizar de otros
zhuo_manager | cambiar_mentalidad_fija_crecimiento | Cambiar la mentalidad fija por la de crecimiento para poder pedir opinion
zhuo_manager | celebrar_pequenias_victorias | Celebrar las pequenias victorias para romper el ciclo negativo
zhuo_manager | comparar_motivacion_resultado_papel | Comparar que te motiva mas, lograr un resultado o desempenar un papel
zhuo_manager | compartir_opinion_conductual_regularidad | Compartir opinion sobre la conducta con cuidado y con regularidad
zhuo_manager | comprobar_confianza_persona_cargo | Comprobar si tu relacion con cada persona a cargo esta fundada en la confianza
zhuo_manager | comprobar_gusto_trato_personas | Comprobar si te gusta hablar con la gente
zhuo_manager | comprobar_opinion_produce_mejora | Comprobar que tu opinion produce la mejora que buscas, con las tres preguntas del libro
zhuo_manager | conocer_fuerzas_valores_sesgos_propios | Conocerte a fondo antes de sostener a tu equipo
zhuo_manager | contrastar_motivos_querer_gestionar | Contrastar tus motivos para querer gestionar con lo que la gestion da
zhuo_manager | convertir_cualquiera_mentor | Convertir a cualquiera en mentor pidiendole un consejo concreto
zhuo_manager | cortar_efecto_divisor_persona_brillante | Cortar el efecto divisor de la persona brillante que rebaja a los demas
zhuo_manager | cuestionar_historia_irracional_cabeza | Cuestionar la historia que te cuentas cuando no tienes todos los datos
zhuo_manager | dar_estabilidad_situacion_emocional | Comprobar si puedes dar estabilidad en una situacion emocionalmente dificil
zhuo_manager | dar_mala_noticia_decision_tomada | Dar una mala noticia sobre una decision que ya has tomado
zhuo_manager | dar_opinion_critica_directa_desapasionada | Dar opinion critica de forma directa y desapasionada
zhuo_manager | dar_opinion_especifica_tarea | Dar opinion especifica de la tarea tan a menudo como puedas
zhuo_manager | dar_opinion_frecuencia_suficiente | Dar opinion con la frecuencia suficiente, y no solo de la tarea
zhuo_manager | despedir_persona_respeto_franqueza | Despedir a una persona con respeto y sin rodeos
zhuo_manager | diagnosticar_falta_motivacion_habilidad | Diagnosticar si el trabajo flojo es cuestion de motivacion o de habilidad
zhuo_manager | dirigir_reunion_individual_semanal | Dirigir la reunion individual semanal con cada persona a cargo
zhuo_manager | disenar_entorno_rendir_mejor | Disenar tu dia a dia a partir de lo que te hace rendir mejor
zhuo_manager | elegir_forma_inspirar_cambio_conducta | Elegir con cual de las cuatro formas de opinion inspiras un cambio de conducta
zhuo_manager | elegir_recolocar_despedir_persona | Elegir si recolocas a la persona dentro o la dejas ir
zhuo_manager | establecer_dinamica_nueva_antiguos_pares | Establecer la dinamica nueva con tus antiguos pares
zhuo_manager | establecer_limites_cuidado_personal | Cuidarte estableciendo limites cuando el trabajo se te desborda
zhuo_manager | evaluar_directivo_resultados_fortaleza | Evaluar a un directivo por los resultados del equipo y por su fortaleza
zhuo_manager | evitar_doble_impuesto_malestar | Evitar el doble impuesto de sufrir y encima sentirte culpable por sufrir
