acoger_inspectores_externos_fuente_aprendizaje           avisos 0 | errores 0
aplicar_ejercicio_codigo_genetico_control                avisos 0 | errores 0
asignar_responsable_unico_evolucion_planificada          avisos 0 | errores 0
auditar_formacion_premios_ultima_fila                    avisos 0 | errores 0
cambiar_forma_trabajar_conservar_plantilla               avisos 0 | errores 0
ceder_control_reforzar_competencia_claridad              avisos 0 | errores 0
contar_firmas_cadena_tramite_parado                      avisos 0 | errores 0
declarar_intencion_reemplazar_peticion_permiso           avisos 0 | errores 0
eliminar_seguimiento_descendente_responsabilizar_dueno   avisos 0 | errores 0
encargar_meta_especifica_dejar_libre_metodo              avisos 0 | errores 0
identificar_temas_formacion_tarjetas_decision            avisos 0 | errores 0
informar_cierre_jornada_conservar_propiedad_trabajo      avisos 0 | errores 0
inspeccionar_reparto_informacion_notas_jefe              avisos 0 | errores 0
observar_reunion_rutinaria_senales_plantilla             avisos 0 | errores 0
recorrer_organizacion_escuchar_plantilla                 avisos 0 | errores 0
reforzar_principios_guia_lenguaje_prueba_conocimiento    avisos 0 | errores 0
repetir_mensaje_invariable_diario_reunion_evento         avisos 0 | errores 0
resistir_dar_solucion_clasificar_decision_urgencia       avisos 0 | errores 0
seguir_frustrado_preguntar_implantacion_ideas            avisos 0 | errores 0
tomar_accion_deliberada_pausar_vocalizar_gesticular      avisos 0 | errores 0
