candidato | unidad ganadora | aciertos | segunda | tokens que la casan
construir_empresa_plantilla_vision_diaria | cap_04 | 2 | cap_08 2 | IBM,Watson
dar_valor_constante_cuatro_publicos | SIN CASAR | 0 | ninguna 0 | 
dictar_ritmo_crecimiento_preguntas_escritas | SIN CASAR | 0 | ninguna 0 | 
documentar_trabajo_manual_operaciones | cap_11 | 1 | cap_16 1 | Manual
fingir_prototipo_cinco_mil_replicas | cap_02 | 1 | cap_11 1 | 5,000
hacer_trabajo_futuro_imaginar_negocio | cap_04 | 1 | ninguna 0 | Future
interrogar_negocio_cinco_preguntas | cap_02 | 1 | cap_11 1 | 5,000
operar_modelo_gente_destreza_minima | cap_06 | 2 | cap_11 2 | Abdication,Delegation
trazar_modelo_negocio_cliente_primero | SIN CASAR | 0 | ninguna 0 | 
unificar_color_forma_vestuario_modelo | cap_11 | 5 | cap_19 1 | Cheskin,Color,Institute,Louis,Research
