INICIO 2026-09-23 20:06:38
archivar_indicadores_resolver_problemas rc=0 segundos=2162
dimensionar_inventario_materia_prima_reposicion rc=0 segundos=2297
detectar_arreglar_fallo_etapa_menor_valor rc=0 segundos=2444
emparejar_indicadores_efecto_contraefecto rc=0 segundos=3410
representar_actividad_caja_negra_ventanas rc=0 segundos=3410
elegir_cinco_indicadores_diarios_fabrica rc=0 segundos=3416
preferir_inspeccion_proceso_prueba_destructiva rc=0 segundos=3411
construir_indicador_tendencia_patron rc=0 segundos=3411
decidir_aceptar_rechazar_material_defectuoso rc=0 segundos=3410
equilibrar_capacidad_personal_inventario_plazo rc=0 segundos=3410
rehacer_flujo_paso_limitante_capacidad rc=0 segundos=3411
dimensionar_plantilla_administrativa_pronostico rc=0 segundos=3410
construir_indicador_linealidad_alerta_temprana rc=0 segundos=3410
elegir_indicador_salida_trabajo_administrativo rc=0 segundos=3410
construir_grafico_escalonado_pronosticos rc=0 segundos=3446
casar_flujo_fabricacion_flujo_ventas rc=0 segundos=3511
